ApprovalDate,ApprovalFY,NoEmp,CreateJob,RetainedJob,DisbursementDate,DisbursementGross,Accept,NewExist_Binary,Franchise_Binary,UrbanRural_Binary,RevLineCr_Binary,LowDoc_Binary,ApprovalDate_quarter,DisbursementDate_quarter,Bank_Categorized,Bank_Categorized_cod,BankState_Categorized,BankState_Categorized_cod,ApprovalFY_Grouped,ApprovalFY_Grouped_cod,NoEmp_Grouped,NoEmp_Grouped_cod,CreateJob_Binary,RetainedJob_Binary,DisbursementGross_Grouped,DisbursementGross_Grouped_cod
11,2006,2,0,2,12,8000,1,0,0,1,0,0,4,4,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,0-30k,0
6,2005,2,1,2,7,166000,1,0,0,1,0,0,2,3,"FIRSTMERIT BANK, N.A.",4,OH,2,2005-2009,7,1-2,1,1,1,150k-500k,3
3,2003,2,4,2,3,25000,1,0,0,0,1,0,1,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2000-2004,6,1-2,1,1,1,0-30k,0
6,1995,2,0,0,1,220100,1,0,0,1,0,0,2,1,THE HUNTINGTON NATIONAL BANK,10,OH,2,1995-1999,5,1-2,1,0,0,150k-500k,3
4,2009,0,0,0,5,25000,0,1,0,1,0,0,2,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,0,0,0,0,0-30k,0
8,2001,2,0,0,9,124000,1,0,0,0,0,1,3,3,"PNC BANK, NATIONAL ASSOCIATION",9,Otros,3,2000-2004,6,1-2,1,0,0,75k-150k,2
3,2006,11,4,15,2,160896,1,1,0,1,1,0,1,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,6-15,3,1,1,150k-500k,3
4,2000,1,0,0,5,43000,1,0,1,0,0,1,2,2,Otros,8,Otros,3,2000-2004,6,1-2,1,0,0,30k-75k,1
10,1997,7,0,0,9,75000,1,1,0,1,0,0,4,3,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,1995-1999,5,6-15,3,0,0,30k-75k,1
3,1994,4,0,0,4,75000,1,1,1,1,0,0,1,2,Otros,8,OH,2,1990-1994,4,3-5,2,0,0,30k-75k,1
12,1992,60,0,0,1,840000,1,1,0,1,0,0,4,1,"FIRSTMERIT BANK, N.A.",4,OH,2,1990-1994,4,15+,4,0,0,500k+,4
7,2006,50,0,50,8,75000,1,1,0,1,1,0,3,3,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,15+,4,0,1,30k-75k,1
5,1999,18,8,18,6,360000,1,1,0,1,0,0,2,2,Otros,8,Otros,3,1995-1999,5,15+,4,1,1,150k-500k,3
7,1997,2,0,0,9,45000,0,1,0,1,0,1,3,3,Otros,8,OH,2,1995-1999,5,1-2,1,0,0,30k-75k,1
9,2001,2,2,0,9,60000,1,0,0,1,0,0,3,3,Otros,8,OH,2,2000-2004,6,1-2,1,1,0,30k-75k,1
6,1990,16,0,0,7,380000,1,1,0,1,0,0,2,3,KEYBANK NATIONAL ASSOCIATION,7,OH,2,1990-1994,4,15+,4,0,0,150k-500k,3
6,1991,4,0,0,7,750000,1,1,0,1,0,0,2,3,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1990-1994,4,3-5,2,0,0,500k+,4
4,2009,17,0,17,4,15000,1,0,0,0,0,0,2,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,15+,4,0,1,0-30k,0
3,2001,8,0,0,7,107850,1,1,0,1,0,1,1,3,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2000-2004,6,6-15,3,0,0,75k-150k,2
11,2005,25,0,0,12,184500,1,1,0,1,0,0,4,4,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2005-2009,7,15+,4,0,0,150k-500k,3
4,2011,1,0,1,4,6200,1,1,0,1,0,0,2,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2010-2014,8,1-2,1,0,1,0-30k,0
8,2009,14,0,14,9,1783000,1,0,0,1,0,0,3,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,6-15,3,0,1,500k+,4
10,2006,0,6,0,11,143317,1,0,0,1,1,0,4,4,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,0,0,1,0,75k-150k,2
7,2003,2,2,2,8,35000,1,0,1,1,0,0,3,3,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,2000-2004,6,1-2,1,1,1,30k-75k,1
2,2005,4,0,4,2,10000,1,1,0,1,1,0,1,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,3-5,2,0,1,0-30k,0
1,2006,1,0,0,4,105000,1,0,0,0,0,0,1,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,1-2,1,0,0,75k-150k,2
9,2007,2,2,0,11,100599,1,0,0,1,1,0,3,4,Otros,8,Otros,3,2005-2009,7,1-2,1,1,0,75k-150k,2
10,2009,4,0,4,11,10000,1,0,0,1,1,0,4,4,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2005-2009,7,3-5,2,0,1,0-30k,0
8,2006,1,0,1,10,119062,1,1,0,1,1,0,3,4,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,75k-150k,2
11,2005,1,0,1,1,19845,1,1,0,1,1,0,4,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,0-30k,0
4,2005,45,0,45,4,1100000,1,1,0,0,0,0,2,2,FIFTH THIRD BANK,3,OH,2,2005-2009,7,15+,4,0,1,500k+,4
8,2005,4,6,6,9,80000,0,0,0,1,0,0,3,3,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,3-5,2,1,1,75k-150k,2
4,1998,3,0,0,1,76000,1,0,0,1,0,1,2,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,1995-1999,5,3-5,2,0,0,75k-150k,2
12,2008,7,0,7,12,82731,0,1,0,0,1,0,4,4,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,6-15,3,0,1,75k-150k,2
12,1996,10,0,0,1,75000,1,1,0,1,0,1,4,1,"FIRSTMERIT BANK, N.A.",4,OH,2,1995-1999,5,6-15,3,0,0,30k-75k,1
10,2006,18,10,18,11,420000,1,0,0,1,1,0,4,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,15+,4,1,1,150k-500k,3
3,1996,4,0,0,4,16000,1,1,0,1,0,1,1,2,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1995-1999,5,3-5,2,0,0,0-30k,0
12,2000,2,0,0,1,189000,1,1,0,1,0,0,4,1,Otros,8,OH,2,2000-2004,6,1-2,1,0,0,150k-500k,3
5,1990,6,0,0,6,90346,1,1,0,1,0,0,2,2,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1990-1994,4,6-15,3,0,0,75k-150k,2
10,1991,26,0,0,1,350000,1,1,0,1,0,0,4,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1990-1994,4,15+,4,0,0,150k-500k,3
8,2003,22,3,22,10,50000,0,1,0,1,0,0,3,4,CAPITAL ONE NATL ASSOC,0,Otros,3,2000-2004,6,15+,4,1,1,30k-75k,1
8,1995,8,0,0,10,100000,1,1,0,1,0,1,3,4,Otros,8,OH,2,1995-1999,5,6-15,3,0,0,75k-150k,2
6,1995,6,0,0,10,22500,1,1,0,1,0,1,2,4,FIFTH THIRD BANK,3,OH,2,1995-1999,5,6-15,3,0,0,0-30k,0
5,2006,15,15,15,7,295000,1,1,0,1,1,0,2,3,KEYBANK NATIONAL ASSOCIATION,7,OH,2,2005-2009,7,6-15,3,1,1,150k-500k,3
